STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
672150,99999, 20090213,   79.9,19,   73.4,19, 1012.2, 8, 9999.9, 0,   9.9,19,   5.6,19,  15.9, 999.9,   86.0*,  72.3 , 0.47G,999.9, 000010,
672150,99999, 20090214,   80.9,15,   72.9,15, 1013.1, 6, 9999.9, 0,  10.0,15,   4.1,15,   8.9, 999.9,   87.8*,  72.7 , 0.00G,999.9, 000000,
672150,99999, 20090215,   79.5,16,   74.5,16, 1012.4, 8, 9999.9, 0,   9.1,16,   6.0,16,   9.9, 999.9,   85.1 ,  74.1 , 0.55E,999.9, 010010,
672150,99999, 20090216,   80.9,18,   74.9,18, 1010.0, 4, 9999.9, 0,   7.9,18,   5.4,18,   9.9, 999.9,   86.0*,  75.2*, 0.16A,999.9, 010000,
672150,99999, 20090217,   79.8,17,   73.9,17, 1011.5, 6, 9999.9, 0,   9.0,17,   4.8,16,   8.0, 999.9,   86.7 ,  73.4*,99.99 ,999.9, 010010,
672150,99999, 20090218,   81.4,19,   74.5,19, 1011.1, 7, 9999.9, 0,   9.5,19,   5.0,19,  13.0, 999.9,   86.4*,  75.9 , 0.16G,999.9, 000010,
672150,99999, 20090219,   82.2,19,   74.1,19, 1009.6, 8, 9999.9, 0,  10.3,19,   4.0,19,   6.0, 999.9,   87.8*,  74.1 , 0.00G,999.9, 000010,
672150,99999, 20090220,   82.0,19,   73.9,19, 1010.2, 7, 9999.9, 0,   9.7,19,   4.2,19,   7.0, 999.9,   88.9 ,  74.8*, 0.00I,999.9, 000000,
672150,99999, 20090221,   80.8,21,   74.2,21, 1010.3, 7, 9999.9, 0,   8.8,21,   4.6,21,   8.9, 999.9,   88.0 ,  68.0 , 0.63G,999.9, 010010,
672150,99999, 20090222,   82.3,18,   74.3,18, 1009.2, 6, 9999.9, 0,  10.0,18,   4.5,18,   8.9, 999.9,   86.7 ,  75.9 , 0.00G,999.9, 000010,
672150,99999, 20090223,   80.4, 7,   74.8, 7, 9999.9, 0, 9999.9, 0,   8.0, 7,   2.3, 7,   5.1, 999.9,   82.4*,  77.9 , 0.08G,999.9, 010010,
672150,99999, 20090224,   82.1,11,   74.6,11, 1011.5, 7, 9999.9, 0,  11.6,11,   6.9,11,  12.0, 999.9,   86.0*,  74.5 , 0.35G,999.9, 000000,
672150,99999, 20090225,   81.9,20,   74.1,20, 1011.8, 8, 9999.9, 0,   9.9,20,   4.0,20,   8.9, 999.9,   88.5 ,  75.2 , 0.00G,999.9, 000000,
672150,99999, 20090226,   81.0,16,   73.9,16, 1010.8, 7, 9999.9, 0,  11.1,16,   5.3,16,  11.1, 999.9,   88.5 ,  74.8 , 0.00I,999.9, 000000,
672150,99999, 20090227,   83.2,19,   74.0,19, 1010.3, 6, 9999.9, 0,   9.2,19,   4.6,19,   8.9, 999.9,   89.6 ,  75.0 , 0.00I,999.9, 000000,
672150,99999, 20090228,   81.7,17,   74.0,17, 1011.1, 8, 9999.9, 0,  10.7,17,   4.8,17,   8.9, 999.9,   88.3 ,  74.1 , 0.00I,999.9, 000000,
672150,99999, 20090301,   82.2,18,   74.2,18, 1012.4, 8, 9999.9, 0,  10.1,18,   5.9,18,  12.0, 999.9,   88.2 ,  74.8 , 0.00I,999.9, 000010,
672150,99999, 20090302,   83.1,14,   74.4,14, 1012.4, 5, 9999.9, 0,   9.4,14,   6.1,14,  11.1, 999.9,   88.3*,  76.1 , 0.00I,999.9, 000000,
672150,99999, 20090303,   83.4,16,   74.8,16, 1011.6, 7, 9999.9, 0,  10.5,16,   7.9,16,  15.0, 999.9,   88.5*,  76.1 , 0.00I,999.9, 000010,
672150,99999, 20090304,   82.6,18,   75.3,18, 1010.9, 6, 9999.9, 0,   9.3,18,   8.0,18,  13.0, 999.9,   88.2 ,  76.1 , 0.00I,999.9, 000010,
672150,99999, 20090305,   77.4,19,   72.4,19, 1012.2, 8, 9999.9, 0,   9.0,19,   3.5,19,   7.0, 999.9,   83.3*,  72.3 , 0.43G,999.9, 010010,
672150,99999, 20090306,   81.5,20,   74.9,20, 1012.4, 7, 9999.9, 0,   9.5,20,   6.0,20,  13.0, 999.9,   87.8*,  74.3 , 0.00G,999.9, 000000,
672150,99999, 20090307,   81.2,13,   74.3,13, 1012.3, 5, 9999.9, 0,   9.8,13,   4.9,13,  13.0, 999.9,   86.7*,  73.4 , 0.00I,999.9, 000000,
672150,99999, 20090308,   81.8,15,   74.6,15, 1012.2, 5, 9999.9, 0,   8.4,15,   4.2,14,   8.9, 999.9,   88.7 ,  75.2*, 0.00I,999.9, 000010,
672150,99999, 20090309,   82.3,19,   75.3,19, 1012.3, 7, 9999.9, 0,   9.5,19,   7.0,19,  11.1, 999.9,   89.6 ,  76.1 , 0.00I,999.9, 000000,
672150,99999, 20090310,   82.0,17,   74.2,17, 1011.2, 6, 9999.9, 0,   9.8,17,   7.1,17,  12.0, 999.9,   90.1 ,  75.2*, 0.00I,999.9, 000010,
672150,99999, 20090311,   82.5,19,   73.0,18, 1009.9, 6, 9999.9, 0,   8.9,19,   8.2,18,  14.0, 999.9,   89.6*,  73.8 , 0.00I,999.9, 000010,
672150,99999, 20090312,   82.3,21,   71.4,21, 1010.2, 8, 9999.9, 0,   9.7,21,   5.7,21,  11.1, 999.9,   90.1 ,  74.1 , 0.00I,999.9, 000000,
672150,99999, 20090313,   81.5,23,   73.2,23, 1010.5, 8, 9999.9, 0,   9.4,23,   5.8,23,   9.9, 999.9,   89.6*,  73.9 , 0.00I,999.9, 000000,
672150,99999, 20090314,   81.4,20,   74.4,20, 1011.5, 7, 9999.9, 0,   9.4,20,   4.4,20,   8.0, 999.9,   87.4 ,  73.9 , 0.00I,999.9, 000010,
672150,99999, 20090315,   80.1,19,   74.6,19, 1011.5, 8, 9999.9, 0,   9.9,19,   4.1,19,   8.9, 999.9,   90.0 ,  76.1 , 0.00I,999.9, 000010,
672150,99999, 20090316,   81.2,17,   73.9,17, 1009.6, 7, 9999.9, 0,   9.3,17,   3.4,17,   7.0, 999.9,   89.1 ,  73.6 , 0.00B,999.9, 010010,
672150,99999, 20090317,   84.9, 6,   74.2, 6, 9999.9, 0, 9999.9, 0,  10.7, 6,   4.3, 6,   8.0, 999.9,   89.6*,  75.9 , 0.00I,999.9, 000000,
672150,99999, 20090318,   84.5,16,   75.6,16, 1010.1, 6, 9999.9, 0,   9.6,16,   6.1,16,   9.9, 999.9,   90.1 ,  75.9 , 0.00I,999.9, 000000,
672150,99999, 20090319,   82.7,17,   74.2,17, 1010.4, 5, 9999.9, 0,   9.1,17,   8.7,17,  15.0, 999.9,   88.7*,  74.7*, 0.00I,999.9, 000000,
672150,99999, 20090320,   81.8,19,   74.3,19, 1010.9, 7, 9999.9, 0,   9.7,19,   6.4,19,  11.1, 999.9,   86.7 ,  74.7 , 0.00I,999.9, 000010,
